x1,x2,label
-0.051470,0.444199,1
1.032017,-0.419741,1
0.867892,-0.254827,1
0.288851,-0.448669,1
-0.833439,0.535057,0
0.613706,-0.242369,1
0.286495,-0.201277,1
-0.056104,0.477079,1
1.604217,-0.303541,1
0.709641,0.858867,0
1.156778,-0.389896,1
0.860676,0.555191,0
0.319695,-0.125269,1
1.918991,0.114007,1
2.032317,0.040974,1
1.650251,-0.087198,1
-0.214761,1.063931,0
1.834209,-0.157539,1
0.983857,-0.468686,1
-0.407208,0.962683,0
-0.040273,0.156340,1
0.508571,1.013874,0
-0.595899,0.729632,0
-0.034327,0.371214,1
0.136989,0.887537,0
0.242139,1.036040,0
0.769801,0.676794,0
2.125350,0.373782,1
1.776512,-0.128698,1
2.043273,0.275792,1
-0.432261,0.921914,0
0.477688,0.795712,0
0.170559,-0.241509,1
-0.982941,0.083557,0
-0.777020,0.493300,0
0.336634,1.212253,0
0.596305,-0.418887,1
0.314826,0.054491,1
1.837312,-0.034368,1
0.956826,0.248992,0
-0.608488,1.069022,0
0.841235,0.578274,0
-0.392433,1.001685,0
2.241508,0.395650,1
-0.365430,0.938492,0
-0.065171,0.926770,0
1.975802,-0.186905,1
0.172459,-0.031066,1
-0.802486,0.286979,0
1.373161,-0.378137,1
-0.016993,0.058520,1
1.727268,-0.317562,1
0.008106,0.981659,0
0.226217,-0.156061,1
0.887815,0.195964,0
0.902305,0.171299,0
0.259317,-0.155952,1
0.930262,0.077845,0
0.100214,1.051374,0
1.417937,-0.387600,1
-0.031597,0.846742,0
1.081622,0.067526,0
-0.173081,0.114584,1
0.134472,0.988039,0
0.235791,-0.134452,1
0.630860,-0.382411,1
0.559885,-0.484718,1
1.633253,-0.249823,1
0.952983,0.349310,0
0.027499,0.235575,1
0.711104,0.551010,0
-0.989412,0.024731,0
0.206328,-0.142109,1
0.911443,-0.521490,1
-0.183003,0.870375,0
-0.222663,0.994513,0
0.588630,-0.418152,1
0.904284,0.149340,0
-0.014061,0.145008,1
-0.478302,0.853557,0
0.702155,-0.578415,1
0.990541,0.262364,0
-0.035184,0.770153,0
0.737000,0.354927,0
-0.320834,0.905344,0
0.011744,0.336986,1
2.215504,0.560930,1
0.716071,-0.516942,1
0.893189,-0.489675,1
-0.631751,0.938495,0
-0.540196,0.743537,0
-1.001600,0.350312,0
0.171630,0.518985,1
0.096644,1.031429,0
